humidity,temperature,clearness
83,287.13,2
89,281.68,2
93,286.77,2
54,297.35,1
74,292.06,1
79,286,2
85,299.15,2
70,305.89,2
69,304.71,2
27,308.15,1
84,279.6,2
93,283.75,2
50,287.52,1
72,292.18,1
62,292.7,1
69,291.23,1
62,291.45,2
64,289.73,1
71,292.82,1
73,289.96,1
72,286.74,2
55,275.74,1
91,290.02,2
63,291.42,1
88,283.83,1
79,302.52,1
43,305.15,1
50,288.48,1
97,292.99,2
87,287.36,2
87,298.25,2
25,299.57,1
70,289.82,1
74,289.62,1
79,290.57,2
43,287.8,1
90,288.84,2
86,283.57,2
35,312.92,1
81,281.96,2
77,292.23,2
61,288.84,1
80,293.45,1
